Anio_Periodo;Anio;Periodo;Fecha;Mes;ID_Trimestre;Trimestre;Mes_ES;Trimestre_ES;Mes_Anio
201008;2010;8;2008-02-01;Aug;20103;Q3;agosto;T3;ago. 2010
201009;2010;9;2008-02-02;Sep;20103;Q3;septiembre;T3;sep. 2010
201010;2010;10;2008-02-03;Oct;20104;Q4;octubre;T4;oct. 2010
201011;2010;11;2008-02-04;Nov;20104;Q4;noviembre;T4;nov. 2010
201012;2010;12;2008-02-05;Dec;20104;Q4;diciembre;T4;dic. 2010
201101;2011;1;2008-02-06;Jan;20111;Q1;enero;T1;ene. 2011
201102;2011;2;2008-02-07;Feb;20111;Q1;febrero;T1;feb. 2011
201103;2011;3;2008-02-08;Mar;20111;Q1;marzo;T1;mar. 2011
201104;2011;4;2008-02-09;Apr;20112;Q2;abril;T2;abr. 2011
201105;2011;5;2008-02-10;May;20112;Q2;mayo;T2;may. 2011
201106;2011;6;2008-02-11;Jun;20112;Q2;junio;T2;jun. 2011
201107;2011;7;2008-02-12;Jul;20113;Q3;julio;T3;jul. 2011
201108;2011;8;2008-02-13;Aug;20113;Q3;agosto;T3;ago. 2011
201109;2011;9;2008-02-14;Sep;20113;Q3;septiembre;T3;sep. 2011
201110;2011;10;2008-02-15;Oct;20114;Q4;octubre;T4;oct. 2011
201111;2011;11;2008-02-16;Nov;20114;Q4;noviembre;T4;nov. 2011
201112;2011;12;2008-02-17;Dec;20114;Q4;diciembre;T4;dic. 2011
201201;2012;1;2008-02-18;Jan;20121;Q1;enero;T1;ene. 2012
201202;2012;2;2008-02-19;Feb;20121;Q1;febrero;T1;feb. 2012
201203;2012;3;2008-02-20;Mar;20121;Q1;marzo;T1;mar. 2012
201204;2012;4;2008-02-21;Apr;20122;Q2;abril;T2;abr. 2012
201205;2012;5;2008-02-22;May;20122;Q2;mayo;T2;may. 2012
201206;2012;6;2008-02-23;Jun;20122;Q2;junio;T2;jun. 2012
201207;2012;7;2008-02-24;Jul;20123;Q3;julio;T3;jul. 2012
201208;2012;8;2008-02-25;Aug;20123;Q3;agosto;T3;ago. 2012
201209;2012;9;2008-02-26;Sep;20123;Q3;septiembre;T3;sep. 2012
201210;2012;10;2008-02-27;Oct;20124;Q4;octubre;T4;oct. 2012
201211;2012;11;2008-02-28;Nov;20124;Q4;noviembre;T4;nov. 2012
201212;2012;12;2008-02-29;Dec;20124;Q4;diciembre;T4;dic. 2012
201301;2013;1;2008-03-01;Jan;20131;Q1;enero;T1;ene. 2013
201302;2013;2;2008-03-02;Feb;20131;Q1;febrero;T1;feb. 2013
201303;2013;3;2008-03-03;Mar;20131;Q1;marzo;T1;mar. 2013
201304;2013;4;2008-03-04;Apr;20132;Q2;abril;T2;abr. 2013
201305;2013;5;2008-03-05;May;20132;Q2;mayo;T2;may. 2013
201306;2013;6;2008-03-06;Jun;20132;Q2;junio;T2;jun. 2013
201307;2013;7;2008-03-07;Jul;20133;Q3;julio;T3;jul. 2013
201308;2013;8;2008-03-08;Aug;20133;Q3;agosto;T3;ago. 2013
201309;2013;9;2008-03-09;Sep;20133;Q3;septiembre;T3;sep. 2013
201310;2013;10;2008-03-10;Oct;20134;Q4;octubre;T4;oct. 2013
201311;2013;11;2008-03-11;Nov;20134;Q4;noviembre;T4;nov. 2013
201312;2013;12;2008-03-12;Dec;20134;Q4;diciembre;T4;dic. 2013
201401;2014;1;2008-03-13;Jan;20141;Q1;enero;T1;ene. 2014
201402;2014;2;2008-03-14;Feb;20141;Q1;febrero;T1;feb. 2014
201403;2014;3;2008-03-15;Mar;20141;Q1;marzo;T1;mar. 2014
201404;2014;4;2008-03-16;Apr;20142;Q2;abril;T2;abr. 2014
201405;2014;5;2008-03-17;May;20142;Q2;mayo;T2;may. 2014
201406;2014;6;2008-03-18;Jun;20142;Q2;junio;T2;jun. 2014
201407;2014;7;2008-03-19;Jul;20143;Q3;julio;T3;jul. 2014
201408;2014;8;2008-03-20;Aug;20143;Q3;agosto;T3;ago. 2014
201409;2014;9;2008-03-21;Sep;20143;Q3;septiembre;T3;sep. 2014
201410;2014;10;2008-03-22;Oct;20144;Q4;octubre;T4;oct. 2014
201411;2014;11;2008-03-23;Nov;20144;Q4;noviembre;T4;nov. 2014
201412;2014;12;2008-03-24;Dec;20144;Q4;diciembre;T4;dic. 2014
